best_f1,best_acc,best_loss,best_epoch,best_path
0.3643,0.5345,0.009814780870718616,61,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_0.pt
0.6173,0.7883,0.4409361183643341,13,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_1.pt
0.6918,0.6919,0.29405865498951506,17,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_2.pt
0.8029,0.813,0.5530264931065696,9,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_3.pt
0.7038,0.709,0.46859974946294514,8,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_4.pt
0.6592,0.6624,0.30132792251450674,21,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_5.pt
0.4873,0.4878,0.21061934317861283,23,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_6.pt
0.7909,0.7913,0.6755342653819493,0,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_7.pt
0.7093,0.7429,0.19280895058597838,25,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_8.pt
0.3945,0.6368,0.6382637023925781,2,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_9.pt
0.7265,0.7554,0.41984374608312336,9,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_10.pt
0.5443,0.5766,0.6339367202350071,2,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_11.pt
0.6969,0.6969,0.2862554447991507,15,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_12.pt
0.6082,0.6108,0.011650057176926307,68,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.679199823311397,0,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_14.pt
0.669,0.6893,0.6282933524676731,3,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_15.pt
0.9029,0.9029,0.6094640919140407,3,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_16.pt
0.3959,0.5495,0.012228233207549368,58,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_17.pt
0.6103,0.6816,0.11377060207139168,90,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_18.pt
0.7313,0.7324,0.21397082188299724,28,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_19.pt
0.944,0.945,0.07062736951879092,41,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_20.pt
0.739,0.7414,0.05596535759312766,43,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_21.pt
0.7582,0.8631,0.12481849853481565,32,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_22.pt
0.6451,0.8463,0.27225052246025633,16,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_23.pt
0.8835,0.9005,0.27070670255592894,16,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/SWELLDataset/finetuned_best_24.pt
